# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.067 0.157239
  9 0.0914634 130.481 108.794
  10 0.103659 135.558 317.673
  11 0.115854 124.153 317.851
  12 0.128049 146.57 317.786
  13 0.140244 152.645 317.643
  14 0.152439 129.388 316.782
  15 0.164634 135.055 315.541
  16 0.176829 124.215 313.995
  17 0.189024 144.173 312.607
  18 0.20122 137.853 310.529
  19 0.213415 131.274 308.916
  20 0.22561 118.351 306.714
  21 0.237805 130.503 304.644
  22 0.25 143.936 302.85
  23 0.262195 126.698 300.208
  24 0.27439 125.516 300.229
  25 0.286585 128.529 298.825
  26 0.29878 129.924 296.811
  27 0.310976 125.614 295.751
  28 0.323171 119.985 293.302
  29 0.335366 137.318 293.189
  30 0.347561 145.969 292.052
  31 0.359756 146.467 292.149
  32 0.371951 129.226 289.862
  33 0.384146 132.978 289.231
  34 0.396341 137.019 288.268
  35 0.408537 134.702 287.616
  36 0.420732 121.715 286.714
  37 0.432927 135.306 286.517
  38 0.445122 122.668 285.946
  39 0.457317 138.508 283.955
  40 0.469512 143.937 283.644
  41 0.481707 145.184 284.505
  42 0.493902 137.01 283.844
  43 0.506098 121.042 283.245
  44 0.518293 140.066 282.563
  45 0.530488 143.483 282.097
  46 0.542683 136.086 280.673
  47 0.554878 121.508 280.046
  48 0.567073 125.255 279.511
  49 0.579268 139.652 280.396
  50 0.591463 139.885 279.456
  51 0.603659 135.439 279.043
  52 0.615854 125.891 277.53
  53 0.628049 129.999 276.465
  54 0.640244 129.934 276.802
  55 0.652439 124.108 276.236
  56 0.664634 136.103 275.08
  57 0.676829 145.111 275.309
  58 0.689024 145.99 275.223
  59 0.70122 137.308 275.813
  60 0.713415 129.137 275.305
  61 0.72561 136.614 276.068
  62 0.737805 132.796 275.79
  63 0.75 126.226 275.465
  64 0.762195 128.247 275.876
